municipioId,municipio,departamentoId,departamento,latitud,longitud
5002,Abejorral,5,Antioquia,5.75,-75.4166667
5004,Abriaquí,5,Antioquia,6.6666667,-76.0833333
50006,Acacías,50,Meta,3.9166667,-73.8333333
27006,Acandí,27,Chocó,8.3333333,-77.1666667
41006,Acevedo,41,Huila,1.75,-75.9166667
13006,Achí,13,Bolívar,8.25,-74.5
41013,Agrado,41,Huila,2.3333333,-75.75
25001,Agua de Dios,25,Cundinamarca,4.4166667,-74.6666667
20011,Aguachica,20,Cesar,8.3333333,-73.5833333
68013,Aguada,68,Santander,6.25,-73.4666667
17013,Aguadas,17,Caldas,5.6333333,-75.4166667
85010,Aguazul,85,Casanare,5.1730556,-72.5547222
20013,Agustín Codazzi,20,Cesar,9.9166667,-73.25
41016,Aipe,41,Huila,3.25,-75.3333333
18029,Albania,18,Caquetá,1.3316667,-75.8822222
44035,Albania,44,La Guajira,11.1597222,-72.5855556
68020,Albania,68,Santander,5.8333333,-73.75
25019,Albán,25,Cundinamarca,4.9166667,-74.45
52019,Albán (San José),52,Nariño,1.4744444,-77.0836111
76020,Alcalá,76,Valle del Cauca,4.6666667,-75.75
52022,Aldana,52,Nariño,0.9166667,-77.6833333
5021,Alejandria,5,Antioquia,6.3666667,-75.0833333
47030,Algarrobo,47,Magdalena,10.1869444,-74.5752778
41020,Algeciras,41,Huila,2.5833333,-75.25
19022,Almaguer,19,Cauca,1.9166667,-76.8333333
15022,Almeida,15,Boyacá,4.9166667,-73.3333333
73024,Alpujarra,73,Tolima,3.4166667,-74.9166667
41026,Altamira,41,Huila,2.1666667,-75.8333333
27025,Alto Baudó (Pie de Pato),27,Chocó,5.6666667,-77
13030,Altos del Rosario,13,Bolívar,8.7944444,-74.1658333
73026,Alvarado,73,Tolima,4.5833333,-75
5030,Amagá,5,Antioquia,6.05,-75.7
5031,Amalfi,5,Antioquia,7,-74.9166667
73030,Ambalema,73,Tolima,4.8333333,-74.8333333
25035,Anapoima,25,Cundinamarca,4.6166667,-74.55
52036,Ancuya,52,Nariño,1.25,-77.5
76036,Andalucía,76,Valle del Cauca,4.1741667,-76.1702778
5034,Andes,5,Antioquia,5.5833333,-75.9166667
5036,Angelópolis,5,Antioquia,6.1333333,-75.7
5038,Angostura,5,Antioquia,6.8666667,-75.3333333
25040,Anolaima,25,Cundinamarca,4.8333333,-74.5
5040,Anorí,5,Antioquia,7.1666667,-75.0833333
17042,Anserma,17,Caldas,5.25,-75.75
76041,Ansermanuevo,76,Valle del Cauca,4.7972222,-75.995
73043,Anzoátegui,73,Tolima,4.6666667,-75.25
5044,Anzá,5,Antioquia,6.3333333,-75.9166667
5045,Apartadó,5,Antioquia,7.8855556,-76.6347222
25599,Apulo,25,Cundinamarca,4.5833333,-74.5833333
66045,Apía,66,Risaralda,5.1666667,-76
15047,Aquitania,15,Boyacá,5.5197222,-72.8875
47053,Aracataca,47,Magdalena,10.5833333,-74
17050,Aranzazu,17,Caldas,5.3,-75.45
68051,Aratoca,68,Santander,6.8333333,-72.9666667
81001,Arauca,81,Arauca,7.0902778,-70.7616667
81065,Arauquita,81,Arauca,6.8219444,-71.3236111
25053,Arbeláez,25,Cundinamarca,4.3,-74.5833333
52051,Arboleda (Berruecos),52,Nariño,1.5033333,-77.0877778
54051,Arboledas,54,Norte de Santander,7.6666667,-72.75
5051,Arboletes,5,Antioquia,8.5,-76.4166667
15051,Arcabuco,15,Boyacá,5.8,-73.3833333
13042,Arenal,13,Bolívar,8.4666667,-73.95
5055,Argelia,5,Antioquia,5.7341667,-75.1463889
19050,Argelia,19,Cauca,2.2666667,-77.25
76054,Argelia,76,Valle del Cauca,4.7,-76.1333333
47058,Ariguaní (El Difícil),47,Magdalena,10.25,-74
13052,Arjona,13,Bolívar,10.1666667,-75.3333333
5059,Armenia,5,Antioquia,6.1666667,-75.8333333
63001,Armenia,63,Quindío,4.5338889,-75.6811111
73055,Armero (Guayabal),73,Tolima,5.0833333,-74.8333333
13062,Arroyohondo,13,Bolívar,10.2497222,-75.0113889
20032,Astrea,20,Cesar,9.5011111,-73.9802778
73067,Ataco,73,Tolima,3.3333333,-75.6666667
27050,Atrato (Yuto),27,Chocó,5.5333333,-76.6333333
23068,Ayapel,23,Córdoba,8.25,-75.25
27073,Bagadó,27,Chocó,5.5,-76.25
27075,Bahía Solano (Mútis),27,Chocó,6.2191667,-77.4077778
27077,Bajo Baudó (Pizarro),27,Chocó,NA,-77.0833333
19075,Balboa,19,Cauca,2.1,-77.2
66075,Balboa,66,Risaralda,4.9166667,-75.95
8078,Baranoa,8,Atlántico,10.8,-74.9166667
41078,Baraya,41,Huila,3.1666667,-75
52079,Barbacoas,52,Nariño,1.5833333,-78
5079,Barbosa,5,Antioquia,6.45,-75.3333333
68077,Barbosa,68,Santander,6,-73.55
68079,Barichara,68,Santander,6.75,-73.1666667
50110,Barranca de Upía,50,Meta,4.5755556,-72.9611111
68081,Barrancabermeja,68,Santander,7.0652778,-73.8547222
44078,Barrancas,44,La Guajira,11,-72.75
13074,Barranco de Loba,13,Bolívar,8.8333333,-74.1666667
8001,Barranquilla,8,Atlántico,10.9638889,-74.7963889
20045,Becerríl,20,Cesar,9.705,-73.2847222
17088,Belalcázar,17,Caldas,5,-75.8333333
5088,Bello,5,Antioquia,6.3388889,-75.5622222
5086,Belmira,5,Antioquia,6.6666667,-75.6666667
25086,Beltrán,25,Cundinamarca,4.8,-74.75
15087,Belén,15,Boyacá,6.0833333,-72.9166667
52083,Belén,52,Nariño,1.5975,-77.0175
27086,Belén de Bajirá,27,Chocó,7.3725,-76.7147222
66088,Belén de Umbría,66,Risaralda,5.25,-75.9166667
