id,name,alternativeNames,municipio,departamentoId,departamento,lat,lon
"47960",Zapayán (PUNTA DE PIEDRAS) - Magdalena,,Zapayán (PUNTA DE PIEDRAS),47,Magdalena,10.171,-74.719
"47660",Sabanas de San Angel (SAN ANGEL) - Magdalena,,Sabanas de San Angel (SAN ANGEL),47,Magdalena,10.033,-74.217
"20045",Becerríl - Cesar,,Becerríl,20,Cesar,9.705,-73.2847222
"23682",San José de Uré - Córdoba,,San José de Uré,23,Córdoba,7.767,-75.517
"27150",Carmen del Darién (CURBARADÓ) - Chocó,,Carmen del Darién (CURBARADÓ),27,Chocó,7.158,-76.971
"05647",San Andrés de Cuerquía - Antioquia,,San Andrés de Cuerquía,5,Antioquia,6.917,-75.667
"68235",El Carmen - Santander,,El Carmen,68,Santander,6.698,-73.511
"05148",Carmen de Viboral - Antioquia,,Carmen de Viboral,5,Antioquia,6.085,-75.3386111
"27425",Medio Atrato - Chocó,,Medio Atrato,27,Chocó,5.995,-76.7825
"27810",Unión Panamericana (ÁNIMAS) - Chocó,,Unión Panamericana (ÁNIMAS),27,Chocó,5.283,-76.617
"25781",Sutatausa - Cundinamarca,,Sutatausa,25,Cundinamarca,5.251,-73.856
"76892",Yumbo - Valle del Cauca,,Yumbo,76,Valle del Cauca,3.585,-76.4958333
"50370",Uribe - Meta,,Uribe,50,Meta,3.254,-74.358
"18256",El Paujil - Caquetá,,El Paujil,18,Caquetá,15.64,-75.332
"86885",Villagarzón - Putumayo,,Villagarzón,86,Putumayo,10.38,-76.627
"88564",Providencia - San Andrés,,Providencia,88,San Andrés,12.5,-81.75
"44847",Uribia - La Guajira,,Uribia,44,La Guajira,11.9166667,-72
"44560",Manaure - La Guajira,,Manaure,44,La Guajira,11.7791667,-72.4494444
"44001",Riohacha - La Guajira,,Riohacha,44,La Guajira,11.5444444,-72.9072222
"44430",Maicao - La Guajira,,Maicao,44,La Guajira,11.3841667,-72.2441667
"44090",Dibulla - La Guajira,,Dibulla,44,La Guajira,11.2722222,-73.3055556
"47001",Santa Marta - Magdalena,,Santa Marta,47,Magdalena,11.2472222,-74.2016667
"44035",Albania - La Guajira,,Albania,44,La Guajira,11.1597222,-72.5855556
"44378",Hatonuevo - La Guajira,,Hatonuevo,44,La Guajira,11.0694444,-72.7669444
"08573",Puerto Colombia - Atlántico,,Puerto Colombia,8,Atlántico,11.0166667,-74.8833333
"44078",Barrancas - La Guajira,,Barrancas,44,La Guajira,11,-72.75
"47570",Puebloviejo - Magdalena,,Puebloviejo,47,Magdalena,10.9833333,-74.3333333
"08001",Barranquilla - Atlántico,,Barranquilla,8,Atlántico,10.9638889,-74.7963889
"08758",Soledad - Atlántico,,Soledad,8,Atlántico,10.9172222,-74.7666667
"08832",Tubará - Atlántico,,Tubará,8,Atlántico,10.9166667,-74.95
"08296",Galapa - Atlántico,,Galapa,8,Atlántico,10.9166667,-74.8333333
"47745",Sitionuevo - Magdalena,,Sitionuevo,47,Magdalena,10.9166667,-74.5833333
"44098",Distracción - La Guajira,,Distracción,44,La Guajira,10.8977778,-72.8869444
"08433",Malambo - Atlántico,,Malambo,8,Atlántico,10.8588889,-74.7730556
"08132",Juan de Acosta - Atlántico,,Juan de Acosta,8,Atlántico,10.8333333,-75.0333333
"47189",Ciénaga - Magdalena,,Ciénaga,47,Magdalena,10.8333333,-74.0833333
"44650",San Juan del Cesar - La Guajira,,San Juan del Cesar,44,La Guajira,10.8333333,-73.0833333
"44279",Fonseca - La Guajira,,Fonseca,44,La Guajira,10.8333333,-72.8333333
"08078",Baranoa - Atlántico,,Baranoa,8,Atlántico,10.8,-74.9166667
"08634",Sabanagrande - Atlántico,,Sabanagrande,8,Atlántico,10.8,-74.75
"47980",Zona Bananera (PRADO - SEVILLA) - Magdalena,,Zona Bananera (PRADO - SEVILLA),47,Magdalena,10.764167,-74.157222
"08549",Piojo - Atlántico,,Piojo,8,Atlántico,10.75,-75.1333333
"08849",Usiacuri - Atlántico,,Usiacuri,8,Atlántico,10.75,-74.9666667
"08685",Santo Tomás - Atlántico,,Santo Tomás,8,Atlántico,10.75,-74.8333333
"08558",Polonuevo - Atlántico,,Polonuevo,8,Atlántico,10.75,-74.7833333
"08520",Palmar de Varela - Atlántico,,Palmar de Varela,8,Atlántico,10.7466667,-74.7555556
"47605",Remolino - Magdalena,,Remolino,47,Magdalena,10.6666667,-74.5833333
"44110",El Molino - La Guajira,,El Molino,44,La Guajira,10.6533333,-72.9241667
"08560",Ponedera - Atlántico,,Ponedera,8,Atlántico,10.6436111,-74.7544444
"08638",Sabanalarga - Atlántico,,Sabanalarga,8,Atlántico,10.6333333,-74.8333333
"47268",El Retén - Magdalena,,El Retén,47,Magdalena,10.6166667,-74.2666667
"08421",Luruaco - Atlántico,,Luruaco,8,Atlántico,10.6141667,-75.1461111
"47720",Santa Bárbara de Pinto - Magdalena,,Santa Bárbara de Pinto,47,Magdalena,10.6,-74.167
"13222",Clemencia - Bolívar,,Clemencia,13,Bolívar,10.5891667,-75.3341667
"13673",Santa Catalina - Bolívar,,Santa Catalina,13,Bolívar,10.5833333,-75.25
"47053",Aracataca - Magdalena,,Aracataca,47,Magdalena,10.5833333,-74
"44874",Villanueva - La Guajira,,Villanueva,44,La Guajira,10.5833333,-73
"44855",Urumita - La Guajira,,Urumita,44,La Guajira,10.5666667,-73.0166667
"08606",Repelón - Atlántico,,Repelón,8,Atlántico,10.55,-75.1333333
"44420",La Jagua del Pilar - La Guajira,,La Jagua del Pilar,44,La Guajira,10.5166667,-73.0833333
"08436",Manatí - Atlántico,,Manatí,8,Atlántico,10.5,-75
"08141",Candelaria - Atlántico,,Candelaria,8,Atlántico,10.5,-74.8333333
"47675",Salamina - Magdalena,,Salamina,47,Magdalena,10.5,-74.7
"20001",Valledupar - Cesar,,Valledupar,20,Cesar,10.4769444,-73.2505556
"13683",Santa Rosa - Bolívar,,Santa Rosa,13,Bolívar,10.45,-75.3333333
"13873",Villanueva - Bolívar,,Villanueva,13,Bolívar,10.45,-75.25
"08137",Campo de la Cruz - Atlántico,,Campo de la Cruz,8,Atlántico,10.4166667,-74.9166667
"47551",Pivijay - Magdalena,,Pivijay,47,Magdalena,10.4166667,-74.3333333
"47288",Fundación - Magdalena,,Fundación,47,Magdalena,10.4166667,-73.9166667
"13001",Cartagena - Bolívar,,Cartagena,13,Bolívar,10.3997222,-75.5144444
"13647",San Estanislao - Bolívar,,San Estanislao,13,Bolívar,10.3983333,-75.1511111
"20443",Manaure Balcón del Cesar - Cesar,Manaure - Cesar,Manaure Balcón del Cesar,20,Cesar,10.3927778,-73.0325
"20570",Pueblo Bello - Cesar,,Pueblo Bello,20,Cesar,10.3666667,-73.6333333
"13836",Turbaco - Bolívar,,Turbaco,13,Bolívar,10.35,-75.3333333
"20750",San Diego - Cesar,,San Diego,20,Cesar,10.3375,-73.1825
"13760",Soplaviento - Bolívar,,Soplaviento,13,Bolívar,10.3333333,-75.1
"08770",Suan - Atlántico,,Suan,8,Atlántico,10.3333333,-74.9166667
"47258",El Piñon - Magdalena,,El Piñon,47,Magdalena,10.3333333,-74.6666667
"08675",Santa Lucía - Atlántico,,Santa Lucía,8,Atlántico,10.3286111,-74.9644444
"13838",Turbaná - Bolívar,,Turbaná,13,Bolívar,10.25,-75.4166667
"13140",Calamar - Bolívar,,Calamar,13,Bolívar,10.25,-75
"47161",Cerro San Antonio - Magdalena,,Cerro San Antonio,47,Magdalena,10.25,-74.8333333
"47058",Ariguaní (El Difícil) - Magdalena,,Ariguaní (El Difícil),47,Magdalena,10.25,-74
"13062",Arroyohondo - Bolívar,,Arroyohondo,13,Bolívar,10.2497222,-75.0113889
"47030",Algarrobo - Magdalena,,Algarrobo,47,Magdalena,10.1869444,-74.5752778
"13052",Arjona - Bolívar,,Arjona,13,Bolívar,10.1666667,-75.3333333
"13433",Mahates - Bolívar,,Mahates,13,Bolívar,10.1666667,-75.1666667
"47441",Pedraza - Magdalena,,Pedraza,47,Magdalena,10.1666667,-74.75
"20621",La Paz (Robles) - Cesar,La Paz - Cesar,La Paz (Robles),20,Cesar,10.1666667,-73.25
"20238",El Copey - Cesar,,El Copey,20,Cesar,10.1505556,-73.965
"13248",El Guamo - Bolívar,,El Guamo,13,Bolívar,10.0833333,-74.9166667
"13670",San Pablo - Bolívar,,San Pablo,13,Bolívar,10.0527778,-75.2680556
"47170",Chivolo - Magdalena,,Chivolo,47,Magdalena,10.0280556,-74.6436111
"13442",María la Baja - Bolívar,,María la Baja,13,Bolívar,10,-75.3333333
"47798",Tenerife - Magdalena,,Tenerife,47,Magdalena,10,-74.6666667
"20060",Bosconia - Cesar,,Bosconia,20,Cesar,9.9761111,-73.8902778
"13657",San Juan de Nepomuceno - Bolívar,,San Juan de Nepomuceno,13,Bolívar,9.9566667,-75.0866667
"20013",Agustín Codazzi - Cesar,,Agustín Codazzi,20,Cesar,9.9166667,-73.25
"13620",San Cristobal - Bolívar,,San Cristobal,13,Bolívar,9.8833333,-75.25
"47205",Concordia - Magdalena,,Concordia,47,Magdalena,9.8402778,-74.4447222
"70713",San Onofre - Sucre,,San Onofre,70,Sucre,9.8333333,-75.5
"13654",San Jacinto - Bolívar,,San Jacinto,13,Bolívar,9.8333333,-75.0833333
"47555",Plato - Magdalena,,Plato,47,Magdalena,9.8333333,-74.3333333
"13655",San Jacinto del Cauca - Bolívar,,San Jacinto del Cauca,13,Bolívar,9.8316667,-75.1263889
"47460",Nueva Granada - Magdalena,,Nueva Granada,47,Magdalena,9.8030556,-74.3902778
"13244",El Carmen de Bolívar - Bolívar,,El Carmen de Bolívar,13,Bolívar,9.75,-75.1666667
"13894",Zambrano - Bolívar,,Zambrano,13,Bolívar,9.75,-74.8333333
"20250",El Paso - Cesar,,El Paso,20,Cesar,9.6622222,-73.7519444
"20400",La Jagua de Ibirico - Cesar,La Jagua - Cesar,La Jagua de Ibirico,20,Cesar,9.5641667,-73.3375
"70230",Chalán - Sucre,,Chalán,70,Sucre,9.5491667,-75.3161111
"20032",Astrea - Cesar,,Astrea,20,Cesar,9.5011111,-73.9802778
"70820",Tolú - Sucre,,Tolú,70,Sucre,9.5,-75.5333333
"70508",Ovejas - Sucre,,Ovejas,70,Sucre,9.5,-75.1666667
"13212",Córdoba - Bolívar,,Córdoba,13,Bolívar,9.5,-74.9166667
"20178",Chiriguaná - Cesar,,Chiriguaná,20,Cesar,9.5,-73.4166667
"70204",Colosó (Ricaurte) - Sucre,,Colosó (Ricaurte),70,Sucre,9.4966667,-75.3555556
"70823",Tolú Viejo - Sucre,,Tolú Viejo,70,Sucre,9.451944,-75.439444
"70221",Coveñas - Sucre,,Coveñas,70,Sucre,9.4166667,-75.7
"70473",Morroa - Sucre,,Morroa,70,Sucre,9.4166667,-75.3333333
"70717",San Pedro - Sucre,,San Pedro,70,Sucre,9.4166667,-75
"13188",Cicuco - Bolívar,,Cicuco,13,Bolívar,9.4166667,-74.7333333
"70418",Los Palmitos - Sucre,,Los Palmitos,70,Sucre,9.3811111,-75.2713889
"23672",San Antero - Córdoba,,San Antero,23,Córdoba,9.35,-75.75
"70523",Palmito - Sucre,,Palmito,70,Sucre,9.3333333,-75.55
"70215",Corozal - Sucre,,Corozal,70,Sucre,9.3333333,-75.25
"47692",San Sebastián de Buenavista - Magdalena,,San Sebastián de Buenavista,47,Magdalena,9.3333333,-74.3333333
"47703",San Zenón - Magdalena,,San Zenón,47,Magdalena,9.3333333,-74.3
"47545",Pijiño - Magdalena,,Pijiño,47,Magdalena,9.331389,-74.4497222
"70110",Buenavista - Sucre,,Buenavista,70,Sucre,9.3222222,-74.9772222
